CVE_CUENTA,CVE_PERIODO,CVE_ESTADO,CVE_MUNICIPIO,CVE_INSTITUCION,CUENTAS_NOMINA,CUENTAS_TOTALES,CUENTAS_MA,CUNETAS_NIVEL1,CUENTAS_NIVEL2,CUENTAS_NIVEL3,CUENTAS_NIVEL4,CUENTAS_AHORRO,CUENTAS_PLAZOFIJO,,,,,,,,
"1,000,064",202005,2,2001,40150,0,2,2,0,0,0,2,0,5,,,,,,,,
"1,000,065",202005,2,2002,40002,69094,198966,129872,0,83515,0,115451,0,2236,,,,,,,,
"1,000,066",202005,2,2002,40012,112341,188195,75854,1,34057,1,154136,0,153,,,,,,,,
"1,000,067",202005,2,2002,40014,67272,133611,66339,0,3249,177,130185,1,7855,,,,,,,,
"1,000,068",202005,2,2002,40021,116009,165944,49935,0,0,0,165944,0,2211,,,,,,,,
"1,000,069",202005,2,2002,40030,4264,9762,5498,0,5,0,9757,0,153,,,,,,,,
"1,000,070",202005,2,2002,40036,239,3660,3421,0,53,0,3607,0,88,,,,,,,,
"1,000,071",202005,2,2002,40044,6880,18079,11199,0,258,0,17821,0,602,,,,,,,,
"1,000,072",202005,2,2002,40058,290,10711,10421,0,1882,0,8829,0,825,,,,,,,,
"1,000,073",202005,2,2002,40072,64798,90322,25524,0,17551,1523,71248,0,2463,,,,,,,,
"1,000,074",202005,2,2002,40112,0,437,437,0,0,0,437,0,21,,,,,,,,
"1,000,075",202005,2,2002,40127,966,31898,30932,0,0,0,31898,0,281,,,,,,,,
"1,000,076",202005,2,2002,40128,1,5,4,0,0,0,5,0,2,,,,,,,,
"1,000,077",202005,2,2002,40130,0,3384,3384,0,69,0,3315,0,357,,,,,,,,
"1,000,078",202005,2,2002,40131,0,2350,2350,0,0,0,2350,0,180,,,,,,,,
"1,000,079",202005,2,2002,40136,0,562,562,0,0,0,562,0,81,,,,,,,,
"1,000,080",202005,2,2002,40137,2499,79707,77208,0,0,0,79707,0,55,,,,,,,,
"1,000,081",202005,2,2002,40143,0,174,174,0,0,0,174,0,50,,,,,,,,
"1,000,082",202005,2,2002,40150,0,11,11,0,0,0,11,0,8,,,,,,,,
"1,000,083",202005,2,2002,40154,0,4,4,0,0,0,4,0,0,,,,,,,,
"1,000,084",202005,2,2003,40002,5862,19148,13286,0,8713,0,10435,0,254,,,,,,,,
"1,000,085",202005,2,2003,40012,13134,22159,9025,0,5005,0,17154,0,18,,,,,,,,
"1,000,086",202005,2,2003,40021,7094,10424,3330,0,0,0,10424,0,105,,,,,,,,
"1,000,087",202005,2,2003,40072,9329,12043,2714,0,3182,189,8672,0,153,,,,,,,,
"1,000,088",202005,2,2003,40127,195,4016,3821,0,0,0,4016,0,17,,,,,,,,
"1,000,089",202005,2,2003,40130,0,300,300,0,2,0,298,0,61,,,,,,,,
"1,000,090",202005,2,2003,40131,0,695,695,0,0,0,695,0,23,,,,,,,,
"1,000,091",202005,2,2003,40136,0,4,4,0,0,0,4,0,0,,,,,,,,
"1,000,092",202005,2,2003,40137,164,10188,10024,0,0,0,10188,0,2,,,,,,,,
"1,000,093",202005,2,2004,40002,115809,388484,272675,0,145180,0,243304,28,4762,,,,,,,,
"1,000,094",202005,2,2004,40012,144657,268943,124286,3,64636,0,204304,0,188,,,,,,,,
"1,000,095",202005,2,2004,40014,155525,257151,101626,0,7190,5455,244506,3,8148,,,,,,,,
"1,000,096",202005,2,2004,40021,162897,228182,65285,0,0,0,228182,0,1899,,,,,,,,
"1,000,097",202005,2,2004,40030,9423,15612,6189,0,0,0,15612,0,113,,,,,,,,
"1,000,098",202005,2,2004,40036,815,6703,5888,0,28,0,6675,0,159,,,,,,,,
"1,000,099",202005,2,2004,40044,10466,23875,13409,0,637,0,23238,0,741,,,,,,,,
"1,000,100",202005,2,2004,40058,416,11091,10675,0,3255,0,7836,0,566,,,,,,,,
"1,000,101",202005,2,2004,40062,11678,16675,4997,0,0,0,16675,0,59,,,,,,,,
"1,000,102",202005,2,2004,40072,138715,172932,34217,0,64094,3330,105508,0,1973,,,,,,,,
"1,000,103",202005,2,2004,40112,0,1826,1826,0,0,0,1826,0,114,,,,,,,,
"1,000,104",202005,2,2004,40127,3360,92361,89001,1,0,0,92360,0,495,,,,,,,,
"1,000,105",202005,2,2004,40130,0,6665,6665,0,362,0,6303,0,637,,,,,,,,
"1,000,106",202005,2,2004,40131,0,5775,5775,0,0,0,5775,0,507,,,,,,,,
"1,000,107",202005,2,2004,40136,0,1667,1667,0,0,0,1667,0,39,,,,,,,,
"1,000,108",202005,2,2004,40137,2876,205401,202525,0,0,0,205401,0,301,,,,,,,,
"1,000,109",202005,2,2004,40143,0,586,586,0,0,0,586,0,121,,,,,,,,
"1,000,110",202005,2,2004,40145,0,329,329,0,0,0,329,0,98,,,,,,,,
"1,000,111",202005,2,2004,40150,0,13,13,0,0,0,13,0,10,,,,,,,,
"1,000,112",202005,2,2005,40002,13127,41242,28115,0,11260,0,29982,1,429,,,,,,,,
"1,000,113",202005,2,2005,40012,8256,17018,8762,0,4523,0,12495,0,10,,,,,,,,
"1,000,114",202005,2,2005,40014,3288,7016,3728,0,46,10,6960,0,370,,,,,,,,
